bundle,clean_macro_f1,relative_robustness_sev1_3,relative_robustness_sev1_5,leaf_only_acc,background_only_acc,brightness_sev3_f1,contrast_sev3_f1,gaussian_blur_sev3_f1,motion_blur_sev3_f1,gaussian_noise_sev3_f1,jpeg_sev3_f1,occlusion_sev3_f1,crop_zoom_sev3_f1,rotation_sev3_f1
cand-effb0,0.9740273097636352,0.9798538260095093,0.9314145023418409,0.9026845637583892,0.4161073825503356,0.9679604559527161,0.9506447287141833,0.9378040117114878,0.9274869873829065,0.8565857433803596,0.9411061209788163,0.9156772718427801,0.963983864379085,0.9592051065661138
cand-effv2b0,0.9793695314738403,0.9747510490898427,0.926189123523474,0.9261744966442953,0.39932885906040266,0.9522518261631074,0.9457654513761272,0.9482068554870597,0.9453254638305377,0.8686792037704838,0.9467183943307454,0.8478874528782322,0.976736278057784,0.9591235678045241
cand-effv2b0-bgswap,0.9738978999193235,0.9785036737620588,0.9382910447033843,0.9630872483221476,0.3859060402684564,0.9604080022428625,0.9410094778994853,0.9439894006085755,0.9420921197522918,0.8759810585715639,0.9499560598447645,0.8749694614589079,0.9691522611439354,0.9631011921038648
cand-mnv3l,0.9577230737416289,0.9828066908698202,0.9337699964789344,0.9194630872483222,0.35570469798657717,0.9642248364583356,0.9547411837745142,0.9274402276876409,0.9391811930721945,0.7005370703321794,0.9281140908058085,0.9104835368470525,0.9645502935777421,0.9595863566446339
cand-mnv3s,0.9601205723124697,0.9908143507211888,0.9627274792375305,0.9563758389261745,0.45302013422818793,0.9495596906093973,0.951146968771153,0.9304626404775795,0.9367363674421265,0.9433567473628056,0.9540014097047207,0.8793875456119881,0.9761879810313565,0.964175605700051
